horizon,threshold,model,net_benefit
5yr,0.005,Treat all,0.11614098506539702
5yr,0.005,Treat none,0.0
5yr,0.005,Baseline,0.11620634437821925
5yr,0.005,Updated,0.11614098506539701
5yr,0.01,Treat all,0.11167705064653538
5yr,0.01,Treat none,0.0
5yr,0.01,Baseline,0.11149514151014901
5yr,0.01,Updated,0.11167705064653538
5yr,0.015,Treat all,0.1071677970965178
5yr,0.015,Treat none,0.0
5yr,0.015,Baseline,0.10423231920528792
5yr,0.015,Updated,0.10721350522977224
5yr,0.02,Treat all,0.1026125307551735
5yr,0.02,Treat none,0.0
5yr,0.02,Baseline,0.09490459515472022
5yr,0.02,Updated,0.10238792865820666
5yr,0.025,Treat all,0.09801054373340516
5yr,0.025,Treat none,0.0
5yr,0.025,Baseline,0.08473467502982261
5yr,0.025,Updated,0.09661240876848681
5yr,0.030000000000000002,Treat all,0.09336111354646395
5yr,0.030000000000000002,Treat none,0.0
5yr,0.030000000000000002,Baseline,0.07206180409792524
5yr,0.030000000000000002,Updated,0.09114866711706368
5yr,0.034999999999999996,Treat all,0.08866350273582387
5yr,0.034999999999999996,Treat none,0.0
5yr,0.034999999999999996,Baseline,0.06554313426143123
5yr,0.034999999999999996,Updated,0.08672470950501159
5yr,0.04,Treat all,0.0839169584792396
5yr,0.04,Treat none,0.0
5yr,0.04,Baseline,0.0597382024345506
5yr,0.04,Updated,0.08260380190095047
5yr,0.045,Treat all,0.07912071218855501
5yr,0.045,Treat none,0.0
5yr,0.045,Baseline,0.054409403654706937
5yr,0.045,Updated,0.07837426566686484
5yr,0.049999999999999996,Treat all,0.07427397909481057
5yr,0.049999999999999996,Treat none,0.0
5yr,0.049999999999999996,Baseline,0.04820831468365762
5yr,0.049999999999999996,Updated,0.0760643479634554
5yr,0.055,Treat all,0.06937595782017993
5yr,0.055,Treat none,0.0
5yr,0.055,Baseline,0.041803970768453005
5yr,0.055,Updated,0.07290153013014443
5yr,0.06,Treat all,0.06442582993624471
5yr,0.06,Treat none,0.0
5yr,0.06,Baseline,0.03651825912956478
5yr,0.06,Updated,0.07090779432269327
5yr,0.065,Treat all,0.05942275950809629
5yr,0.065,Treat none,0.0
5yr,0.065,Baseline,0.029857174576593107
5yr,0.065,Updated,0.06807949429260085
5yr,0.07,Treat all,0.054365892623731205
5yr,0.07,Treat none,0.0
5yr,0.07,Baseline,0.02651325662831415
5yr,0.07,Updated,0.06446771772983265
5yr,0.07500000000000001,Treat all,0.049254356908183805
5yr,0.07500000000000001,Treat none,0.0
5yr,0.07500000000000001,Baseline,0.023579357246190664
5yr,0.07500000000000001,Updated,0.06251774535916607
5yr,0.08,Treat all,0.04408726102181526
5yr,0.08,Treat none,0.0
5yr,0.08,Baseline,0.019662004915501227
5yr,0.08,Updated,0.060138765034691254
5yr,0.085,Treat all,0.038863694142153044
5yr,0.085,Treat none,0.0
5yr,0.085,Baseline,0.016182954865410847
5yr,0.085,Updated,0.056634874814456414
5yr,0.09000000000000001,Treat all,0.033582725428648375
5yr,0.09000000000000001,Treat none,0.0
5yr,0.09000000000000001,Baseline,0.01505148178484847
5yr,0.09000000000000001,Updated,0.05216894161366398
5yr,0.095,Treat all,0.028243403469690648
5yr,0.095,Treat none,0.0
5yr,0.095,Baseline,0.013738913655722891
5yr,0.095,Updated,0.049936570495192345
