horizon,dimension,subgroup,n,cases,original_auc,adapted_auc,delta_auc,original_e_o_ratio,adapted_e_o_ratio
1yr,age_group,40-49,580,5,0.42886956521739134,0.7613913043478261,0.33252173913043476,0.8825201703833405,0.8787135815374425
1yr,age_group,50-59,1654,22,0.5363747771836007,0.5526125222816398,0.016237745098039102,0.8545269144545309,0.9779556670363896
1yr,age_group,60-69,1354,37,0.5441728744690021,0.5685526072769809,0.024379732807978782,0.5679591824225202,0.7785814066263591
1yr,age_group,70+,303,4,,,,,
1yr,density,A,461,4,,,,,
1yr,density,B,1499,19,0.5368065433854907,0.5543741109530582,0.0175675675675675,0.9423880062698166,1.1750656759816833
1yr,density,C,1501,40,0.5662731006160164,0.6019507186858316,0.035677618069815176,0.5249473397499408,0.6963517854993955
1yr,density,D,430,5,0.5745882352941176,0.5468235294117646,-0.027764705882353025,1.409856853627574,1.8861766670296085
1yr,family_history,no,3240,52,0.5887160988321591,0.6155595502364637,0.026843451404304552,0.7936838978201256,0.912199549988062
1yr,family_history,yes,651,16,0.4955708661417323,0.5160433070866142,0.020472440944881876,0.5982352577966348,1.1248958545136167
